#Section 1
0		o	0	
1		yek	ye	1
2		do	doo	too	2
3		se	se'	3	
4		chahar	char	cha	for	4
@		at	@
30		si	si'	30
ok		ok	okey	#start
cd		si'di	cd	#start
copy		kopy	copy	#start
address		aadres	address	#start
power		paawer	power	#start
bye		baay	bye	#wholeword
computer		kaampiyoter	computer	#start
idea		ideh	idea	#start
project		projeh	project	#start
site		sayt	site	#start
free		aazaad	firi	free	#start
email		imeil	email	#start
mail		meil	imeil	mail	#start
technical		teknikal	fanni	technical	#start
page		safhe	peyj	page	#start
ip		aay'pi	ip	#start
type		taayp	type	#start
change		cheng	taqyeer	change	#start
check		chek	check	#start
star		estaar	setareh	star	#start
dialup		dayal'aap	dialup	#start
research		tahqiq	reserch	research	#start
tv		telvizion	ti'vi	tv	#start
good		good	khoob	#start
persian		pershyan	farsi	persian	#start
tool		tool	abzar	#start
toefl		taafel	toefl	#start
memory		memory	hafeze	#start
RAM		RAM	hafeze	#start
CPU		si'pi'yoo	CPU	#start
title		taaytel	onvan	title	#start
contact		kaantakt	contact	#start
dg		dige	dg	#wholeword
january		jaanvye	january	#wholeword
february		fevrye	february	#wholeword
march		maars	march	#wholeword
april		aavril	april	#wholeword
may		meh	may	#wholeword
june		jooan	june	#wholeword
july		joolay	july	#wholeword
august		aagost	august	#wholeword
september	septaambr	september	#wholeword
october		oktobr	october	#wholeword
november		novaambr	november	#wholeword
december		desaambr	december	#wholeword
sms	es'em'es	payamak	sms	#start
ADSL	ey'di'es'el	ADSL	#start
facebook	feysbook	facebook	#start
music	moozik	music	#start
weblog	weblag	weblog	#start
download	danlod	download	#start
online	aanlayn	online	#start
bug	baag	bug	#wholeword
ine	ine	ayne	ayn	#end
ile	ile	ayle	ayl	#end
plz	lotfan	pleez	plz	#wholeword
save	seyv	save	#start
chikar	چیکار	#exact
chikara	چیکارا	#exact
chin	چین	#exact
chireh	چیره	#exact
chist	چیست	#exact
chiye	چیه	چی	#exact
chiz	چیز	#exact
chiza	چیزا	#exact
chizaii	چیزایی	#exact
chizaye	چیزایی	چیزای	#exact
chizayee	چیزایی	چیزیه	#exact
chize	چیز	#exact
chizesh	چیزش	#exact
chizi	چیزی	#exact
chizie	چیزیه	چیزی	#exact
chiziee	چیزیه	چیزیی	#exact
chiziyam	چیزیم	#exact
chizo	چیزو	#exact
chon	چون	#exact
choon	چون	#exact
chort	چرت	#exact
chossbaghali	چس‌باقلی	#exact
christmas	کریسمس	christmas	#exact
cilick	کیلیک	#exact
cinema	سینما	#exact
cinemast	سینماست	#exact
cinemaye	سینمای	#exact
class	کلاس	#exact
click	کلیک	ضربه‌زدن	click	#exact
clipasho	کلیپشو	#exact
cloud	کلود	#exact
club	کلاب	کلوپ	club	#exact
cluster	کلاستر	cluster	#exact
clustering	کلاسترینگ	#exact
cm	سانتیمتر	cm	سی.ام	#exact
codesh	کدش	#exact
com	کام	#exact
combine	کمباین	#exact
comedy	کمدی	comedy	#exact
comment	کامنت	نظر	comment	#exact
commentet	کامنتت	#exact
comments	کامنتس	#exact
community	کامیونیتی	انجمن	community	#exact
comp	کامپ	#exact
computer	کامپیوتر	computer	#exact
computing	کمپوتینگ	محاسبه	computing	#exact
conect	کانکت	وصل	connect	#exact
conserv	کنسرو	#exact
contact	کنتاکت	کانتکت	ارتباط	contact	#exact
control	کنترل	#exact
copy	کپی	نمونه ساختن	copy	#exact
copyright	کپی‌رایت	copyright	#exact
crak	کرک	crack	#exact
credit	کردیت	credit	#exact
da'em	دائم	#exact
daadam	دادم	#exact
daadan	دادن	#exact
daareh	داره	#exact
daash	داش	#exact
daashtam	داشتم	#exact
daashtand	داشتند	#exact
daashte	داشته	داشت	#exact
dabirestan	دبیرستان	#exact
dad	داد	#exact
dada	دادا	#exact
dadam	دادم	#exact
dadan	دادن	#exact
dadash	داداش	#exact
dadasham	داداشم	#exact
dade	داده	#exact
dadeh	داده	#exact
dadim	دادیم	#exact
dado	دادو	داد	#exact
dadsetan	دادستان	#exact
dafe	دفعه	دفه	دافعه	#exact
dafeye	دفه‌ی	دفعه‌ی	#exact
daghighan	دقیقا	#exact
dahanam	دهانم	#exact
dalil	دلیل	#exact
dalilesh	دلیلش	#exact
dam	دم	دام	#exact
damagh	دماغ	#exact
damaghesho	دماغشو	#exact
dame	دم	#exact
daneshgah	دانشگاه	#exact
daneshgah	دانشگاه	#exact
daneshgahe	دانشگاه	#exact
daneshgatun	دانشگاتون	#exact
dar	در	دار	#exact
darad	دارد	#exact
daram	دارم	#exact
daram	دارم	#exact
daran	دارن	#exact
darare	دراره	#exact
darbiad	دربیاد	#exact
dard	درد	#exact
dardnake	دردناکه	دردناک	#exact
dare	داره	دره	#exact
dareh	داره	#exact
daresho	درشو	#exact
dari	داری	#exact
darid	دارید	#exact
darim	داریم	#exact
darima	داریما	#exact
darin	دارین	#exact
dark	درک	#exact
darke	درک	درکه	#exact
darmaane	درمان	#exact
daroonie	درونی	درونیه	#exact
darooye	داروی	#exact
darovorde	درآورده	#exact
dars	درس	#exact
darsa	درسا	#exact
darush	داروش	داریوش	#exact
dary	داری	#exact
daryaft	دریافت	#exact
daryoosho	داریوش‌و	داریوش	#exact
das	دس	#exact
dasband	دسبند	#exact
daset	دست	#exact
dasgir	دسگیر	#exact
dash	داش	#exact
dash	داش	#exact
dasht	داشت	#exact
dashtam	داشتم	#exact
dashtan	داشتن	#exact
dashte	داشته	#exact
dashteh	داشته	#exact
dashti	داشتی	دشتی	#exact
dashtid	داشتید	#exact
dashtim	داشتیم	#exact
dashtim	داشتیم	#exact
dast	دست	#exact
dastan	داستان	#exact
dastane	داستان	#exact
dastashoono	دستاشونو	#exact
daste	دست	دسته	#exact
dasteh	دسته	#exact
dastesh	دستش	#exact
dasteshoon	دستشون	#exact
dastet	دستت	#exact
dasteton	دستتون	#exact
dastmal	دستمال	#exact
dastshooii	دستشویی	#exact
dastshooye	دستشویی	دستشوی	#exact
dava	دوا	دعوا	#exact
davash	دواش	دعواش	#exact
davat	دعوت	#exact
davate	دعوت	#exact
december	دسامبر	#exact
deghat	دقت	#exact
del	دل	#exact
delam	دلم	#exact
delam	دلم	#exact
dele	دله	دل	#exact
delemoon	دلمون	#exact
delet	دلت	#exact
deletoon	دلتون	#exact
delhaaye	دلهای	#exact
dell	دل	dell	#exact
demoye	دموی	#exact
deqqat	دقت	#exact
dg	دیگه	#exact
dge	دیگه	#exact
dialup	دایالاپ	شماره‌گیری	dial up	#exact
diari	دیاری	#exact
did	دید	#exact
did	دید	#exact
didam	دیدم	#exact
didamesh	دیدمش	#exact
didane	دیدن	دیدنه	#exact
dide	دیده	دید	#exact
didi	دیدی	#exact
didim	دیدیم	#exact
didish	دیدیش	#exact
dig	دیگ	#exact
digam	دیگم	#exact
digar	دیگر	#exact
digaran	دیگران	#exact
digaresh	دیگرش	#exact
digari	دیگری	#exact
digaro	دیگرو	#exact
dige	دیگه	#exact
digeh	دیگه	#exact
dir	دیر	#exact
dirooz	دیروز	#exact
diroz	دیروز	#exact
dishab	دیشب	#exact
dishab	دیشب	#exact
dishabe	دیشب	#exact
disham	دیشم	#exact
distraction	دیسترکشن	حواس‌پرتی	distraction	#exact
distributed	دیستریبوتد	توزیع شده	distrubuted	#exact
divaar	دیوار	#exact
divar	دیوار	#exact
divoonash	دیوونش	#exact
divooneh	دیوونه	#exact
do	دو	#exact
doa	دعا	#exact
dobaare	دوباره	#exact
dobaareh	دوباره	#exact
dobare	دوباره	#exact
dobare	دوباره	#exact
dochar	دچار	#exact
dochare	دچار	#exact
doctor	دکتر	#exact
dodar	دودر	#exact
dodare	دودره	دودر	#exact
doiidam	دوییدم	#exact
dokhtar	دختر	#exact
dokhtaraiie	دختراییه	#exact
dokhtare	دختر	#exact
dokhtaret	دخترت	#exact
dokhtaroone	دخترونه	#exact
dokhtrashun	دختراشون	#exact
dollar	دلار	#exact
dombale	دمباله	دنبال	#exact
donbale	دنبال	#exact
done	دونه	دان	done	#exact
donya	دنیا	#exact
donyast	دنیاست	#exact
donyaye	دنیای	#exact
dookhtam	دوختم	#exact
doone	دونه	#exact
doorish	دوریش	#exact
dooroogh	دروغ	#exact
dooroogh	دروغ	#exact
doos	دوس	#exact
doosesh	دوسش	#exact
dooset	دوست	#exact
doost	دوست	#exact
doostam	دوستم	#exact
doostan	دوستان	#exact
doostane	دوستانه	دوستان	#exact
doostaye	دوستای	#exact
doostdar	دوستدار	#exact
dooste	دوست	#exact
doostesh	دوستش	#exact
dorood	درود	#exact
dorosht	درست	#exact
dorost	درست	#exact
doroste	درسته	#exact
dorostesh	درستش	#exact
doshmanet	دشمنت	#exact
dosstane	دوستانه	دوستان	#exact
dost	دوست	#exact
dostaan	دوستان	#exact
dostaani	دوستانی	#exact
dostan	دوستان	#exact
dota	دوتا	#exact
dotaashoon	دوتاشون	#exact
dovom	دوم	#exact
dovoman	دوما	#exact
download	دانلود	download	#exact
downlod	دانلود	download	#exact
dozd	دزد	#exact
dozdide	دزدیده	#exact
dozesh	دوزش	#exact
dr	در	دکتر	#exact
drawer	دراور	#exact
drive	درایو	drive	#exact
drop	دراپ	رها کردن	drop	#exact
dubei	دوبی	دبی	#exact
dust	دوست	#exact
dustet	دوستت	#exact
ealam	اعلام	#exact
ebio	ابی‌و	ابی	#exact
ebtekarat	ابتکارت	#exact
edam	اعدام	#exact
edame	ادامه	#exact
ee	ای	ائی	#exact
eftekhar	افتخار	#exact
eghragh	اغراق	#exact
eghtesade	اقتصاد	اقتصادی	#exact
eh	اه	#exact
eheki	اهکی	#exact
ehsaasaat	احساسات	#exact
ehsas	احساس	#exact
ehsasi	احساسی	#exact
ehtemalat	احتمالات	#exact
ehtemale	احتمال	#exact
eib	عیب	#exact
eide	عید	#exact
eidet	عیدت	#exact
eii	اِی	آای	#exact
ein	عین	#exact
eine	عین	#exact
ejra	اجرا	#exact
ejtemaee	اجتماعی	#exact
elam	اعلام	#exact
elika	الیکا	#exact
ellale	علل	#exact
email	ایمیل	پست الکترونیک	E-main	#exact
emailhaye	ایمیل‌های	#exact
emam	امام	#exact
emergency	امرجنسی	ضروری	emergency	#exact
emkane	امکان	#exact
emrooz	امروز	#exact
emroozam	امروزم	#exact
emroz	امروز	#exact
emsal	امسال	#exact
emshab	امشب	#exact
emtedade	امتداد	#exact
emtehan	امتحان	#exact
emtehana	امتحانا	#exact
emtehanam	امتحانام	#exact
emtehanam	امتحانم	#exact
emtehanetono	امتحانتونو	#exact
en	این	انگلیسی	ای.ان	en	#exact
enam	اینم	#exact
endakht	انداخت	#exact
endakhte	انداخته	#exact
energy	انرژی	#exact
engar	انگار	#exact
enghad	اینقد	#exact
enghade	انقده	#exact
engilisi	انگیلیسی	انگلیسی	#exact
englishe	انگلیشه	#exact
enjam	انجام	#exact
enkeh	اینکه	#exact
ensan	انسان	#exact
ensane	انسان	#exact
enshaalaah	انشاالله	#exact
enshalah	انشاالله	#exact
entesab	انتصاب	انتساب	#exact
entezaratam	انتظاراتم	#exact
entezaresho	انتظارشو	#exact
ericsson	اریکسون	erocsson	#exact
ershad	ارشاد	#exact
ertebate	ارتباط	#exact
esfahani	اصفهانی	#exact
eshgh	عشق	#exact
eshgham	عشقم	#exact
eshghe	عشق	عشقه	#exact
eshtebah	اشتباه	#exact
eskandari	اسکندری	#exact
eskandari	اسکندری	#exact
eslah	اصلاح	#exact
eslamshahr	اسلامشهر	#exact
esm	اسم	#exact
esmam	اسمم	#exact
esme	اسم	#exact
esmesh	اسمش	#exact
esmesho	اسمشو	#exact
esmeshoo	اسمشو	#exact
estefaadeh	استفاده	#exact
estefade	استفاده	#exact
esteghrar	استقرار	#exact
estehale	استحاله	#exact
etefaaghan	اتفاقا	#exact
etefagh	اتفاق	#exact
etefaghati	اتفاقاتی	#exact
etefaghi	اتفاقی	#exact
eteghadam	اعتقادم	#exact
eteghadhaye	انتقادهای	#exact
etelaatemun	اطلاعاتمون	#exact
etemad	اعتماد	#exact
eteraz	اعتراض	#exact
ettefaghe	اتفاق	#exact
ey	ای	#exact
eyalate	ایالات	ایالت	#exact
eyde	عید	#exact
eyne	عین	این	#exact
eyval	ایول	#exact
ezafe	اضافه	#exact
ezafeh	اضافه	#exact
ezaye	ازای	#exact
ezdevaj	ازدواج	#exact
faeze	فائزه	فاز	#exact
faghat	فقط	#exact
faghat	فقط	#exact
faheshe	فاحشه	#exact
fahme	فهم	فهمه	#exact
fahmid	فهمید	#exact
fahmidam	فهمیدم	#exact
fahmide	فهمید	#exact
fahmidi	فهمیدی	#exact
faile	فایل	#exact
fajee	فاجعه	فاجعی	#exact
famil	فامیل	#exact
famile	فامیل	#exact
faqat	فقط	#exact
far	فر	فار	#exact
fara	فرا	#exact
faranceh	فرانسه	#exact
farar	فرار	#exact
farari	فراری	#exact
farc	فارسی	#exact
fard	فرد	#exact
farda	فردا	#exact
fardaye	فردای	#exact
fargh	فرق	#exact
farghi	فرقی	#exact
farhang	فرهنگ	#exact
farhangi	فرهنگی	#exact
farhango	فرهنگو	#exact
farhikhtegan	فرهیختگان	#exact
farnaz	فرناز	#exact
fars	فارس	#exact
farshad	فرشاد	#exact
farsi	فارسی	#exact
fart	فرط	#exact
faryad	فریاد	#exact
farzadi	فرزادی	#exact
fateme	فاطمه	#exact
feature	فیچر	خصوصیت	feature	#exact
feel	فعل	#exact
feghat	فقط	#exact
feghdane	فقدان	#exact
fek	فک	#exact
fekr	فکر	#exact
fekra	فکرا	#exact
fekram	فکرم	#exact
fekranast	فکرانست	#exact
fekre	فکر	#exact
fekresho	فکرشو	#exact
fekri	فکری	#exact
felaan	فلان	فعلا	#exact
felan	فعلا	فلان	#exact
fereshteyi	فرشته‌ای	فرشته‌یی	#exact
ferestadam	فرستادم	#exact
fert	فرت	فرط	#exact
fieldesho	فیلدشو	#exact
file	فایل	file	#exact
film	فیلم	#exact
filmaye	فیلمای	فیلمهای	#exact
filme	فیلم	#exact
filmi	فیلمی	#exact
filmo	فیلمو	#exact
fine	فاین	#exact
finglish	فینگلیش	#exact
finglishi	فینگلیشی	#exact
flash	فلش	flash	#exact
floppy	فلاپی	floppy	#exact
fogholaadash	فوق‌الآدش	#exact
fogholadast	فوق‌الآدست	#exact
fogholade	فوق‌العاده	#exact
fogholadeh	فوق‌العاده	#exact
fohsh	فحش	#exact
font	فونت	font	#exact
fonte	فونت	#exact
foozooli	فوضولی	#exact
for	فور	برای	for	#exact
forooshha	فروشها	#exact
forsat	فرصت	#exact
forum	فرم	forum	#exact
forum	فروم	forum	#exact
france	فرانس	فرانسه	france	#exact
free	فیری	مجانی	free	#exact
frestad	فرستاد	#exact
friday	فرایدی	جمعه	friday	#exact
friend	فرند	دوست	friend	#exact
friend	فرند	دوست	friend	#exact
friendship	فرندشیپ	friendship	#exact
full	فول	کامل	full	#exact
gallery	گالری	gallery	#exact
gaman	گمان	#exact
gand	گند	#exact
gardesh	گردش	#exact
gardoondan	گردوندن	#exact
garm	گرم	#exact
gashtam	گشتم	#exact
gavi	گاوی	#exact
gerayeshe	گرایش	#exact
gereft	گرفت	#exact
gereftam	گرفتم	#exact
gereftan	گرفتن	#exact
gerefte	گرفته	#exact
gereftegi	گرفتگی	#exact
gereftegie	گرفتگیه	گرفتگی	#exact
gereftegy	گرفتگی	#exact
gerefteh	گرفته	#exact
gerefti	گرفتی	#exact
gereh	گره	#exact
gerftane	گرفتن	#exact
gerfti	گرفتی	#exact
geyre	غیره	غیر	#exact
ghaaeme	قائمه	#exact
ghabeliyate	قابلیت	#exact
ghabl	قبل	#exact
ghablan	قبلا	#exact
ghablana	قبلنا	#exact
ghable	قبل	#exact
ghabli	قبلی	#exact
ghabol	قبول	#exact
ghabool	قبول	#exact
ghadam	قدم	#exact
ghadimam	قدیمم	#exact
ghado	قدو	قد	#exact
ghadr	قدر	#exact
ghael	قائل	#exact
ghahr	قهر	#exact
ghahve	قهوه	#exact
ghalataye	غلطای	#exact
ghalatgiro	غلتگیرو	غلتگیر	#exact
ghalbe	قلب	#exact
ghalme	قلم	#exact
gham	غم	#exact
ghamat	قامت	غمت	#exact
ghame	غم	قمه	#exact
ghamgin	غمگین	#exact
ghamgini	غمگینی	#exact
ghami	غمی	#exact
ghanimat	غنیمت	#exact
ghanon	قانون	#exact
gharar	قرار	#exact
gharashmish	قاراشمیش	#exact
gharbi	غربی	#exact
ghargh	غرق	#exact
gharibe	غریبه	غریب	#exact
gharibie	قریبی	غریبی	#exact
ghasedak	قاصدک	#exact
ghashange	قشنگه	قشنگ	#exact
ghashangesh	قشنگش	#exact
ghat	قطع	قاط	#exact
ghatan	قطعا	قاطن	#exact
ghatan	قطعا	#exact
ghatre	قطره	#exact
ghavitare	قویتره	#exact
ghavitarin	قویترین	#exact
ghaza	غذا	#exact
ghazaye	غذای	#exact
ghazie	قضیه	#exact
ghazzal	غزل	#exact
ghelyoon	قلیون	غلیون	#exact
ghermez	قرمز	#exact
ghese	قصه	#exact
ghesmat	قسمت	#exact
ghesmate	قسمت	#exact
ghesmatet	قسمتت	#exact
ghesmati	قسمتی	#exact
ghestame	قسطمه	قسطم	#exact
gheymate	قیمت	#exact
gheymatesh	قیمتش	#exact
gheyre	غیر	غیره	#exact
ghiafam	قیافم	#exact
ghiyafam	قیافم	#exact
ghiyafasham	قیافشم	#exact
ghodrat	قدرت	#exact
ghol	قول	غول	قل	#exact
gholdor	قلدر	#exact
ghole	قول	غول	قوله	غوله	#exact
gholombe	قلمبه	#exact
ghoole	غول	قول	#exact
ghor	غر	قر	#exact
ghorbanat	قربانت	#exact
ghorboonet	قربونت	#exact
ghorbooni	قربونی	#exact
ghorbunet	قربونت	#exact
ghose	غصه	#exact
ghyafei	قیافه‌ای	#exact
giafash	قیافش	#exact
gije	گیجه	گیج	#exact
gije	گیجه	گیج	#exact
gir	گیر	#exact
giri	گیری	#exact
go	گو	برو	go	#exact
god	گود	گاد	خدا	god	#exact
godaz	گداز	#exact
gof	گف	گفت	#exact
goft	گفت	#exact
goftam	گفتم	#exact
goftan	گفتن	#exact
gofte	گفته	گفت	#exact
gofteh	گفته	#exact
gofti	گفتی	#exact
goftim	گفتیم	#exact
gofto	گفتو	گفت	#exact
gofty	گفتی	#exact
goh	گه	گوه	#exact
gol	گل	گول	#exact
golden	گلدن	#exact
gole	گل	#exact
goli	گلی	#exact
golii	گلی	#exact
goloole	گلوله	#exact
gom	گم	#exact
gomi	گمی	قمی	#exact
gonah	گناه	#exact
gonde	گنده	#exact
goo	گو	گوی	#exact
good	گود	خوب	khob	#exact
google	گوگل	google	#exact
googooli	گوگولی	#exact
goonehamo	گونه‌هامو	#exact
goosfand	گوسفند	#exact
goosh	گوش	#exact
goosham	گوشم	#exact
gooshei	گوشه‌ای	گوشی	#exact
gooshi	گوشی	#exact
gooyandegi	گویندگی	#exact
gorgan	گرگان	#exact
gorosne	گرسنه	#exact
gosari	گساری	#exact
gosasteye	گسسته‌ی	#exact
gosh	گوش	#exact
goshe	گوش	گوشه	#exact
goshnam	گشنم	#exact
goushe	گوش	گوشه	#exact
gozari	گذاری	#exact
gozasht	گذاشت	گذشت	#exact
gozashte	گذشته	#exact
gozashteh	گذشته	#exact
gozashti	گذاشتی	#exact
gozashtim	گذاشتیم	گذشتیم	#exact
grid	گرید	grid	#exact
group	گروپ	گروه	group	#exact
gui	گوی	واسط کاربر	GUI	#exact
gush	گوش	#exact
ha	ها	#exact
had	حد	حاد	#exact
hadafe	هدف	هدفه	#exact
hadafeshono	هدفشونو	#exact
hadafet	هدفت	#exact
hadde	حد	#exact
hade	حد	حاد	#exact
hads	حدس	#exact
hafez	حافظ	#exact
haftad	هفتاد	#exact
hafte	هفته	#exact
hafte	هفته	#exact
hafteh	هفته	#exact
haftehee	هفتهه	هفته‌ای	هفته‌ی	#exact
hafteye	هفته‌ی	#exact
hagh	حق	#exact
haghighat	حقیقت	#exact
haghighat	حقیقت	#exact
haghighate	حقیقت	#exact
hagho	حقو	#exact
hai	های	#exact
haji	حاجی	#exact
hal	حال	حل	#exact
hala	حالا	#exact
halaha	حالاها	#exact
halam	حالم	#exact
halamo	حالمو	#exact
hale	حال	حله	#exact
halesh	حالش	#exact
halesho	حالشو	#exact
halet	حالت	#exact
halghe	حلقه	#exact
hali	حالی	#exact
hall	حال	#exact
halloween	هالوین	halloween	#exact
ham	هم	هام	#exact
hamamon	هممون	#exact
hamamoon	هممون	#exact
haman	همان	#exact
hamao	همه‌و	#exact
hamash	همش	#exact
hamashoon	همشون	#exact
hamatoon	همتون	#exact
hamchenan	همچنان	#exact
hamchin	همچین	#exact
hamdigaro	همدیگرو	#exact
hamdige	همدیگه	#exact
hame	همه	#exact
hamechizeto	همچیزتو	#exact
hamegi	همگی	#exact
hameh	همه	#exact
hameye	همه‌ی	همه	#exact
hamin	همین	#exact
haminam	همینم	#exact
hamine	همینه	#exact
haminjoori	همینجوری	#exact
haminjori	همینجوری	#exact
hamintor	همینطور	#exact
hamintori	همینطوری	#exact
hamishe	همیشه	#exact
hamishegi	همیشگی	#exact
hamisheh	همیشه	#exact
hamkara	همکارا	#exact
hamkaram	همکارم	همکارام	#exact
hamkaranesh	همکارانش	#exact
hamkelasi	همکلاسی	#exact
hamkhooni	همخونی	#exact
hamle	حمله	#exact
hamo	همو	هامو	#exact
hamon	همون	#exact
hamoon	همون	#exact
hamoonjaa	همونجا	#exact
hamoontor	همونطور	#exact
hamoun	همون	#exact
hamrahe	همراه	#exact
hamsaye	همسایه	#exact
hamsayehaye	همسایه‌های	#exact
hamun	همون	#exact
hamuni	همونی	#exact
han	هان	#exact
hanooz	هنوز	#exact
hanoz	هنوز	#exact
haq	حق	#exact
har	هر	#exact
harche	هرچه	#exact
harchi	هرچی	#exact
harchizi	هرچیزی	#exact
harf	حرف	#exact
harfa	حرفا	#exact
harfaaye	حرفای	حرفایه	#exact
harfamo	حرفمو	#exact
harfasho	حرفاشو	#exact
harfast	حرفاست	#exact
harfato	حرفاتو	#exact
harfe	حرف	#exact
harja	هرجا	#exact
harjaye	هرجای	#exact
harkario	هرکاریو	#exact
harkas	هرکس	#exact
harkodom	هرکدوم	#exact
harmale	حرمله	#exact
haro	هارو	#exact
haroomzade	حرومزاده	#exact
harvaght	هروقت	#exact
harvard	هاروارد	harvard	#exact
harze	هرزه	#exact
hasan	حسن	#exact
hasho	هاشو	حشو	#exact
hasoodi	حسودی	#exact
hasrat	حسرت	#exact
hassasam	حساسم	#exact
hasstyo	هستیو	#exact
hassy	حسی	#exact
hast	هست	#exact
hastam	هستم	#exact
hastan	هستن	#exact
hastand	هستند	#exact
hastesh	هستش	#exact
hasti	هستی	#exact
hastim	هستیم	#exact
hastima	هستیما	#exact
hata	حتی	#exact
hataa	حتا	#exact
hatman	حتما	#exact
hatta	حتی	#exact
hatta	حتی	#exact
hava	هوا	#exact
havaie	هوایی	#exact
havas	حواس	هوس	#exact
havaset	حواست	#exact
hayajanzade	هیجان‌زده	#exact
haye	های	#exact
hayejan	هیجان	#exact
hayejani	هیجانی	#exact
hazeram	حاضرم	#exact
hazf	حذف	#exact
hazineye	هزینه‌ی	هزینه	#exact
hazrate	حضرت	#exact
hediye	هدیه	#exact
hedye	هدیه	#exact
hefz	حفظ	#exact
heif	حیف	#exact
hello	هلو	سلام	hello	#exact
help	هلپ	کمک	help	#exact
hemaghatesh	حماقتش	#exact
hemati	همتی	#exact
hend	هند	#exact
hendoonashoon	هندونشون	#exact
hendoone	هندونه	#exact
herasate	حراست	#exact
herfei	حرفه‌ای	#exact
hers	حرص	#exact
hersesh	حرصش	#exact
hersi	حرصی	#exact
hesab	حساب	#exact
hesabi	حسابی	#exact
hesabras	حسابرس	#exact
hesaby	حسابی	#exact
hese	حس	#exact
hesesh	حسش	#exact
hesse	حسه	حس	#exact
hey	هی	#exact
hezar	هزار	#exact
hezaran	هزاران	#exact
hezaromeshe	هزارمشه	#exact
hich	هیچ	#exact
hichi	هیچی	#exact
hichkas	هیچکس	#exact
hichki	هیچکی	#exact
high	های	بالا	high	#exact
hih	هیه	#exact
hiich	هییچ	#exact
hodoudan	حدودا	#exact
holiday	هالیدی	تعطیلات	holiday	#exact
hollywood	هالیوود	#exact
home	حومه	هوم	home	#exact
honar	هنر	#exact
honari	هنری	#exact
honarmand	هنرمند	#exact
honarmande	هنرمند	#exact
hosein	حسین	#exact
hoseyn	حسین	#exact
hoviati	هویتی	#exact
hozooretoon	حضورتون	#exact
hpc	اچ.پی.سی	HPC	#exact
html	اچ.تی.ام.ال	HTML	#exact
http	اچ.تی.تی.پی	HTTP	#exact
hug	هاگ	#exact
i'm	ایم	#exact
ia	یا	#exact
iadha	یادها	یدها	#exact
iani	یعنی	#exact
id	آی دی	شناسه	ID	#exact
ideal	ایدل	ایدآل	ideal	#exact
idie	ایدیه	آیدی	#exact
idmo	ایدیمو	#exact
ie	یه	#exact
ieki	یکی	#exact
iin	این	#exact
iisa	عیسی	#exact
ijade	ایجاد	#exact
im	ایم	#exact
iman	ایمان	#exact
imano	ایمانو	#exact
impact	ایمپکت	تاثیر	impact	#exact
in	این	#exact
ina	اینا	#exact
inaii	اینایی	#exact
inam	اینم	#exact
inaro	اینارو	#exact
inch	اینچ	#exact
ine	اینه	#exact
ineh	اینه	#exact
ineke	اینه‌که	اینکه	#exact
inghadar	اینقدر	#exact
inghadr	اینقدر	#exact
inja	اینجا	#exact
injam	اینجام	#exact
injan	اینجان	#exact
injast	اینجاست	#exact
injoore	اینجوره	#exact
injoori	اینجوری	#exact
injori	اینجوری	#exact
injorie	اینجوریه	#exact
injurie	اینجوریه	اینجوری	#exact
inkareie	اینکاره‌ا‌ی	#exact
inke	اینکه	#exact
inkeh	اینکه	#exact
ino	اینو	#exact
inspiron	اینسپایرون	inspiron	#exact
international	اینترنشنال	بین‌المللی	international	#exact
internet	اینترنت	internet	#exact
intoori	اینطوری	#exact
intori	اینطوری	#exact
intoriast	اینطوریاست	#exact
intorie	اینطوریه	#exact
invar	اینور	#exact
inyeki	این‌یکی	#exact
ip	آی پی	IP	#exact
iphone	آیفون	iphone	#exact
irad	ایراد	#exact
iradaye	ایرادای	#exact
iran	ایران	#exact
irani	ایرانی	#exact
iranie	ایرانیه	ایرانی	#exact
is	ایز	ایس	#exact
ishon	ایشون	#exact
ishonam	ایشونم	#exact
israeliie	اسرائیلیه	#exact
istgah	ایستگاه	#exact
istgahe	ایستگاه	#exact
it	ایت	آن	it	#exact
italia	ایتالیا	#exact
italy	ایتالی	#exact
j2me	جی تو ام ای	J2ME	#exact
ja	جا	#exact
jaadoyish	جادوییش	#exact
jaan	جان	#exact
jadalo	جدلو	#exact
jadid	جدید	#exact
jadida	جدیدا	#exact
jadidam	جدیدم	#exact
jadidi	جدیدی	#exact
jado	جادو	#exact
jae	جای	جاع	#exact
jaee	جایی	#exact
jaeeze	جایزه	#exact
jahan	جهان	#exact
jahate	جهت	#exact
jaie	جای	#exact
jaii	جایی	#exact
jalase	جلسه	#exact
jaleb	جالب	#exact
jalebi	جالبی	#exact
jam	جم	#exact
jame	جامع	جامعه	#exact
jamee	جامعه	جامی	#exact
jan	جان	#exact
janbe	جنبه	#exact
jaro	جارو	#exact
jaryan	جریان	#exact
jaryane	جریان	#exact
jashe	جاشه	#exact
jasho	جاش‌و	جاشو	#exact
jasus	جاسوس	#exact
jat	جات	#exact
jatoon	جاتون	#exact
java	چاوا	java	#exact
javab	جواب	#exact
javaba	جوابا	#exact
javabamo	جوابمو	#exact
javabe	جواب	#exact
javabesho	جوابشو	#exact
jay	جای	#exact
jaye	جای	#exact
jayee	جایی	#exact
jayeze	جایزه	#exact
jazabi	جذابی	#exact
jazabiati	جذابیتی	#exact
jeddan	جدا	#exact
jeddi	جدی	#exact
jelo	جلو	#exact
jenaiat	جنایت	جنایات	#exact
jende	جنده	#exact
